pnu,jiga
1114014300100500003,4051000
1114014300100520003,3741000
1114014300100590003,8924000
1114014300100620003,3432000
1114014300100630003,5480000
1114014300100640003,5397000
1114014300100730003,5342000
1114014300100830003,4708000
1114014300100890003,4220000
1114014300101120003,4853000
1114014300101150003,3432000
1114014400100120003,6670000
1114014400100200003,1574000
1114014400100210003,1574000
1114014400100250003,5779000
1114014400100270003,3930000
1114014400100390003,3385000
1114014400101740003,5520000
1114014400101870003,6285000
1114014400101880003,9370000
1114014400101900003,2333000
1114014400101910003,7070000
1114014400101930003,4129000
1114014400101970003,1060000
1114014400101980003,1060000
1114014400101990003,3105000
1114014400102010003,3800000
1114014400200060003,1060000
1114014400200140003,260700
1114016200102950003,2874000
1114016200102960003,5343000
1114016200102970003,1768000
1114016200103090003,2946000
1114016200103100003,7830000
1114016200103110003,4332000
1114016200103220003,3909000
1114016200103300003,4290000
1114016200103340003,3141000
1114016200103350003,1428000
1114016200103360003,8931000
1114016200103370003,1749000
1114016200103380003,5300000
1114016200103430003,1247000
1114016200103440003,3050000
1114016200103450003,1452000
1114016200103530003,4753000
1114016200103570003,5230000
1114016200103600003,8704000
1114016200103630003,3029000
1114016200103640003,1666000
1114016200103660003,6778000
1114016200103670003,2791000
1114016200103680003,10340000
1114016200103720003,9380000
1114016200103730003,9792000
1114016200103750003,5490000
1114016200103770003,4280000
1114016200103790003,5241000
1114016200103810003,7176000
1114016200103840003,2547000
1114016200103850003,7720000
1114016200103860003,2649000
1114016200103870003,5319000
1114016200103900003,2983000
1114016200103950003,5555000
1114016200104000003,4588000
1114016200104010003,4291000
1114016200104020003,4047000
1114016200104030003,5008000
1114016200104040003,4130000
1114016200104050003,4060000
1114016200104060003,4200000
1114016200104070003,4301000
1114016200104110003,4006000
1114016200104120003,3642000
1114016200104130003,3845000
1114016200104140003,3900000
1114016200104150003,4057000
1114016200104200003,4990000
1114016200104210003,5015000
1114016200104230003,4840000
1114016200104280003,2539000
1114016200104290003,3600000
1114016200104310003,5292000
